group_id,load_step,displacement_y,force_y
10,10,0.1,9989.5
10,11,0.11,10226.3
10,12,0.12,10459.8
10,13,0.13,10690.4
10,14,0.14,10918.6
10,15,0.15,11144.5
10,16,0.16,11368.6
10,17,0.17,11590.8
10,18,0.18,11811.3
10,19,0.19,12030.4
10,20,0.2,12247.9
11,0,0,0
11,1,0.01,4667.17
11,2,0.02,8389.1
11,3,0.03,9242.53
11,4,0.04,9751.16
11,5,0.05,10130
11,6,0.06,10451
11,7,0.07,10746.6
11,8,0.08,11023.3
11,9,0.09,11289.2
11,10,0.1,11547.5
11,11,0.11,11800.1
11,12,0.12,12048
11,13,0.13,12292.1
11,14,0.14,12532.9
11,15,0.15,12771
11,16,0.16,13006.7
11,17,0.17,13240.2
11,18,0.18,13471.6
11,19,0.19,13701.3
11,20,0.2,13929.2
12,0,0,0
12,1,0.01,5191.03
12,2,0.02,8230.69
12,3,0.03,8728.54
12,4,0.04,8944.36
12,5,0.05,9065.78
12,6,0.06,9159.54
12,7,0.07,9243.04
12,8,0.08,9322.22
12,9,0.09,9398.27
12,10,0.1,9471.73
12,11,0.11,9542.9
12,12,0.12,9612
12,13,0.13,9679.21
12,14,0.14,9744.71
12,15,0.15,9808.62
12,16,0.16,9871.08
12,17,0.17,9932.19
12,18,0.18,9992.07
12,19,0.19,10050.8
12,20,0.2,10108.5
13,0,0,0
13,1,0.01,4853.84
13,2,0.02,8926.2
13,3,0.03,10020.9
13,4,0.04,10744
13,5,0.05,11338.1
13,6,0.06,11874.8
13,7,0.07,12373.1
13,8,0.08,12852
13,9,0.09,13319
13,10,0.1,13777.7
13,11,0.11,14229.9
13,12,0.12,14676.9
13,13,0.13,15119.8
13,14,0.14,15558.9
13,15,0.15,15994.8
13,16,0.16,16427.8
13,17,0.17,16858.1
13,18,0.18,17285.9
13,19,0.19,17711.4
13,20,0.2,18134.7
14,0,0,0
14,1,0.01,5149.37
14,2,0.02,8992.04
14,3,0.03,9796.79
14,4,0.04,10252.6
14,5,0.05,10581.3
14,6,0.06,10860.2
14,7,0.07,11111
14,8,0.08,11348.2
14,9,0.09,11576
14,10,0.1,11796.6
14,11,0.11,12011.6
14,12,0.12,12221.9
14,13,0.13,12428.5
14,14,0.14,12631.8
14,15,0.15,12832.3
14,16,0.16,13030.4
14,17,0.17,13226.3
14,18,0.18,13420.3
14,19,0.19,13612.4
14,20,0.2,13802.9
15,0,0,0
15,1,0.01,5081.98
15,2,0.02,8930.11
15,3,0.03,9939.24
15,4,0.04,10636.2
15,5,0.05,11219.8
15,6,0.06,11754.9
15,7,0.07,12256.5
15,8,0.08,12741.3
15,9,0.09,13215.9
15,10,0.1,13682.9
15,11,0.11,14144.1
15,12,0.12,14600.4
15,13,0.13,15052.8
15,14,0.14,15501.6
15,15,0.15,15947.4
15,16,0.16,16390.3
15,17,0.17,16830.6
15,18,0.18,17268.4
15,19,0.19,17704
15,20,0.2,18137.4
16,0,0,0
16,1,0.01,5365.27
16,2,0.02,8750.44
16,3,0.03,9344.72
16,4,0.04,9659.51
16,5,0.05,9890.15
16,6,0.06,10082.8
16,7,0.07,10265.3
16,8,0.08,10437.6
16,9,0.09,10602.7
16,10,0.1,10762.4
16,11,0.11,10917.7
16,12,0.12,11069.1
16,13,0.13,11217.3
16,14,0.14,11362.8
16,15,0.15,11505.9
16,16,0.16,11646.9
16,17,0.17,11786.1
16,18,0.18,11923.5
16,19,0.19,12059.5
16,20,0.2,12194
17,0,0,0
17,1,0.01,4774.55
17,2,0.02,8397.08
17,3,0.03,9108.04
17,4,0.04,9486.24
17,5,0.05,9753.88
17,6,0.06,9980.7
17,7,0.07,10185.1
17,8,0.08,10378.2
17,9,0.09,10563.5
17,10,0.1,10742.7
17,11,0.11,10916.9
17,12,0.12,11087.1
17,13,0.13,11254
17,14,0.14,11417.9
17,15,0.15,11579.3
17,16,0.16,11738.5
17,17,0.17,11895.8
17,18,0.18,12051.3
17,19,0.19,12205.2
17,20,0.2,12357.7
18,0,0,0
18,1,0.01,5426.81
18,2,0.02,7560.39
18,3,0.03,7979.35
18,4,0.04,8221.42
18,5,0.05,8412.05
18,6,0.06,8586
18,7,0.07,8747.98
18,8,0.08,8902.58
18,9,0.09,9051.65
18,10,0.1,9196.22
18,11,0.11,9337.08
18,12,0.12,9474.85
18,13,0.13,9610.01
18,14,0.14,9742.93
18,15,0.15,9873.92
18,16,0.16,10003.2
18,17,0.17,10130.9
18,18,0.18,10257.3
18,19,0.19,10382.3
18,20,0.2,10506.2
19,0,0,0
19,1,0.01,4367.56
19,2,0.02,7567.3
19,3,0.03,8187.52
19,4,0.04,8507.33
19,5,0.05,8715.04
19,6,0.06,8880.06
19,7,0.07,9028.84
19,8,0.08,9167.19
19,9,0.09,9299.37
19,10,0.1,9426.79
19,11,0.11,9550.23
19,12,0.12,9670.3
19,13,0.13,9787.46
19,14,0.14,9902.11
19,15,0.15,10014.6
19,16,0.16,10125.1
19,17,0.17,10233.9
19,18,0.18,10341.1
19,19,0.19,10447
19,20,0.2,10551.6
20,0,0,0
20,1,0.01,4785.83
20,2,0.02,8277.34
20,3,0.03,9243.03
20,4,0.04,9936.51
20,5,0.05,10516.5
20,6,0.06,11045.3
20,7,0.07,11538.4
20,8,0.08,12014.4
20,9,0.09,12479.8
20,10,0.1,12937.8
20,11,0.11,13390.1
20,12,0.12,13837.7
20,13,0.13,14281.4
20,14,0.14,14721.7
20,15,0.15,15159.1
20,16,0.16,15593.7
20,17,0.17,16025.9
20,18,0.18,16455.7
20,19,0.19,16883.4
20,20,0.2,17308.9
21,0,0,0
21,1,0.01,4386.16
21,2,0.02,8189.93
21,3,0.03,9154.53
21,4,0.04,9751.26
21,5,0.05,10203.1
21,6,0.06,10581.2
21,7,0.07,10924.9
21,8,0.08,11244
21,9,0.09,11550
21,10,0.1,11847.2
21,11,0.11,12137.7
21,12,0.12,12423
21,13,0.13,12704.2
21,14,0.14,12981.8
21,15,0.15,13256.5
21,16,0.16,13528.5
21,17,0.17,13798.2
21,18,0.18,14065.7
21,19,0.19,14331.3
21,20,0.2,14595
22,0,0,0
22,1,0.01,5009.85
22,2,0.02,7965.11
22,3,0.03,8802.14
22,4,0.04,9418.11
22,5,0.05,9943.13
22,6,0.06,10430.6
22,7,0.07,10890.3
22,8,0.08,11336.6
22,9,0.09,11774.8
22,10,0.1,12206.8
22,11,0.11,12633.9
22,12,0.12,13057
22,13,0.13,13476.7
22,14,0.14,13893.4
22,15,0.15,14307.3
22,16,0.16,14718.8
22,17,0.17,15127.9
22,18,0.18,15534.9
22,19,0.19,15939.9
22,20,0.2,16343
23,0,0,0
23,1,0.01,5058.08
23,2,0.02,8479.36
23,3,0.03,9228.77
23,4,0.04,9701.43
23,5,0.05,10077
23,6,0.06,10415
23,7,0.07,10727.9
23,8,0.08,11027.4
23,9,0.09,11318.1
23,10,0.1,11602.2
23,11,0.11,11881.3
23,12,0.12,12156.2
23,13,0.13,12427.7
23,14,0.14,12696.2
23,15,0.15,12962.1
23,16,0.16,13225.6
23,17,0.17,13487.1
23,18,0.18,13746.6
23,19,0.19,14004.2
23,20,0.2,14260.2
24,0,0,0
24,1,0.01,4642.17
24,2,0.02,8104.66
24,3,0.03,8912.65
24,4,0.04,9417.91
24,5,0.05,9802.02
24,6,0.06,10135.8
24,7,0.07,10438.2
24,8,0.08,10725
24,9,0.09,11002
24,10,0.1,11271.7
24,11,0.11,11535.9
24,12,0.12,11795.6
24,13,0.13,12051.7
24,14,0.14,12304.7
24,15,0.15,12555.1
24,16,0.16,12803.1
24,17,0.17,13048.9
24,18,0.18,13292.8
24,19,0.19,13534.9
24,20,0.2,13775.3
25,0,0,0
25,1,0.01,4504.52
25,2,0.02,8387.4
25,3,0.03,9334.88
25,4,0.04,9889.52
25,5,0.05,10307.4
25,6,0.06,10661.1
25,7,0.07,10985.6
25,8,0.08,11288.9
25,9,0.09,11580.4
25,10,0.1,11863.8
25,11,0.11,12141
25,12,0.12,12413.3
25,13,0.13,12681.6
25,14,0.14,12946.6
25,15,0.15,13208.6
25,16,0.16,13468.1
25,17,0.17,13725.3
25,18,0.18,13980.4
25,19,0.19,14233.6
25,20,0.2,14485
26,0,0,0
26,1,0.01,4530.82
26,2,0.02,7844.91
26,3,0.03,8642.99
26,4,0.04,9169.93
26,5,0.05,9600.48
26,6,0.06,9991.61
26,7,0.07,10355.9
26,8,0.08,10706.5
26,9,0.09,11048.3
26,10,0.1,11383.8
26,11,0.11,11714.3
26,12,0.12,12040.9
26,13,0.13,12364.1
26,14,0.14,12684.3
26,15,0.15,13001.9
26,16,0.16,13317.3
26,17,0.17,13630.4
26,18,0.18,13941.7
26,19,0.19,14251
26,20,0.2,14558.6
27,0,0,0
27,1,0.01,4493.34
27,2,0.02,7059.97
27,3,0.03,7804.55
27,4,0.04,8367.55
27,5,0.05,8859.43
27,6,0.06,9321.87
27,7,0.07,9762.28
27,8,0.08,10192.1
27,9,0.09,10615.2
27,10,0.1,11033.2
27,11,0.11,11447
27,12,0.12,11857.3
27,13,0.13,12264.7
27,14,0.14,12669.4
27,15,0.15,13071.6
27,16,0.16,13471.7
27,17,0.17,13869.7
27,18,0.18,14265.7
27,19,0.19,14659.9
27,20,0.2,15052.3
28,0,0,0
28,1,0.01,5313.59
28,2,0.02,8251.37
28,3,0.03,8940.91
28,4,0.04,9396.7
28,5,0.05,9765.51
28,6,0.06,10101.9
28,7,0.07,10414.6
28,8,0.08,10714.8
28,9,0.09,11007
28,10,0.1,11293
28,11,0.11,11574.3
28,12,0.12,11851.8
28,13,0.13,12126
28,14,0.14,12397.3
28,15,0.15,12666.2
28,16,0.16,12932.8
28,17,0.17,13197.3
28,18,0.18,13460
