group_id,param_E,param_v,param_sigma_y,param_H,x,y,u,v,type
0,215585,0.302629,286.704,1675.64,0,0,-3.65E-37,-5.31E-37,1
0,215585,0.302629,286.704,1675.64,0.5,0,1.48E-34,1.62E-34,1
0,215585,0.302629,286.704,1675.64,1,0,1.59E-34,1.67E-34,1
0,215585,0.302629,286.704,1675.64,1.5,0,1.47E-34,1.55E-34,1
0,215585,0.302629,286.704,1675.64,2,0,1.53E-34,1.61E-34,1
0,215585,0.302629,286.704,1675.64,2.5,0,1.43E-34,1.52E-34,1
0,215585,0.302629,286.704,1675.64,3,0,1.47E-34,1.58E-34,1
0,215585,0.302629,286.704,1675.64,3.5,0,1.39E-34,1.52E-34,1
0,215585,0.302629,286.704,1675.64,4,0,1.40E-34,1.58E-34,1
0,215585,0.302629,286.704,1675.64,4.5,0,1.34E-34,1.55E-34,1
0,215585,0.302629,286.704,1675.64,5,0,1.33E-34,1.60E-34,1
0,215585,0.302629,286.704,1675.64,5.5,0,1.26E-34,1.59E-34,1
0,215585,0.302629,286.704,1675.64,6,0,1.22E-34,1.64E-34,1
0,215585,0.302629,286.704,1675.64,6.5,0,1.14E-34,1.63E-34,1
0,215585,0.302629,286.704,1675.64,7,0,1.07E-34,1.64E-34,1
0,215585,0.302629,286.704,1675.64,7.5,0,9.84E-35,1.60E-34,1
0,215585,0.302629,286.704,1675.64,8,0,9.03E-35,1.57E-34,1
0,215585,0.302629,286.704,1675.64,8.5,0,8.26E-35,1.53E-34,1
0,215585,0.302629,286.704,1675.64,9,0,7.62E-35,1.48E-34,1
0,215585,0.302629,286.704,1675.64,9.5,0,7.06E-35,1.43E-34,1
0,215585,0.302629,286.704,1675.64,10,0,6.58E-35,1.39E-34,1
0,215585,0.302629,286.704,1675.64,10.5,0,6.17E-35,1.34E-34,1
0,215585,0.302629,286.704,1675.64,11,0,5.78E-35,1.28E-34,1
0,215585,0.302629,286.704,1675.64,11.5,0,5.51E-35,1.22E-34,1
0,215585,0.302629,286.704,1675.64,12,0,5.22E-35,1.14E-34,1
0,215585,0.302629,286.704,1675.64,12.5,0,5.17E-35,1.08E-34,1
0,215585,0.302629,286.704,1675.64,13,0,5.00E-35,9.90E-35,1
0,215585,0.302629,286.704,1675.64,13.5,0,5.18E-35,9.42E-35,1
0,215585,0.302629,286.704,1675.64,14,0,5.01E-35,8.53E-35,1
0,215585,0.302629,286.704,1675.64,14.5,0,5.31E-35,8.31E-35,1
0,215585,0.302629,286.704,1675.64,15,0,5.01E-35,7.50E-35,1
0,215585,0.302629,286.704,1675.64,15.5,0,5.43E-35,7.63E-35,1
0,215585,0.302629,286.704,1675.64,16,0,4.96E-35,6.91E-35,1
0,215585,0.302629,286.704,1675.64,16.5,0,5.51E-35,7.42E-35,1
0,215585,0.302629,286.704,1675.64,17,0,4.81E-35,6.70E-35,1
0,215585,0.302629,286.704,1675.64,17.5,0,5.45E-35,7.59E-35,1
0,215585,0.302629,286.704,1675.64,18,0,4.35E-35,6.79E-35,1
0,215585,0.302629,286.704,1675.64,18.5,0,4.90E-35,8.16E-35,1
0,215585,0.302629,286.704,1675.64,19,0,2.74E-35,7.29E-35,1
0,215585,0.302629,286.704,1675.64,19.5,0,2.12E-35,1.09E-34,1
0,215585,0.302629,286.704,1675.64,20,0,3.65E-37,-5.31E-37,1
0,215585,0.302629,286.704,1675.64,0,0.5,0.153638,0.0446093,0
0,215585,0.302629,286.704,1675.64,0.5,0.5,0.0906074,0.0188117,0
0,215585,0.302629,286.704,1675.64,1,0.5,0.0620636,0.0118669,0
0,215585,0.302629,286.704,1675.64,1.5,0.5,0.0458322,0.00665426,0
0,215585,0.302629,286.704,1675.64,2,0.5,0.0353768,0.00620038,0
0,215585,0.302629,286.704,1675.64,2.5,0.5,0.0275345,0.00404716,0
0,215585,0.302629,286.704,1675.64,3,0.5,0.0216971,0.00410809,0
0,215585,0.302629,286.704,1675.64,3.5,0.5,0.0169513,0.00301793,0
0,215585,0.302629,286.704,1675.64,4,0.5,0.0131668,0.00303811,0
0,215585,0.302629,286.704,1675.64,4.5,0.5,0.0100351,0.00244289,0
0,215585,0.302629,286.704,1675.64,5,0.5,0.0074791,0.00237763,0
0,215585,0.302629,286.704,1675.64,5.5,0.5,0.00542236,0.00201257,0
0,215585,0.302629,286.704,1675.64,6,0.5,0.00381442,0.00186621,0
0,215585,0.302629,286.704,1675.64,6.5,0.5,0.00263952,0.00161031,0
0,215585,0.302629,286.704,1675.64,7,0.5,0.00180143,0.00146551,0
0,215585,0.302629,286.704,1675.64,7.5,0.5,0.00123606,0.0013188,0
0,215585,0.302629,286.704,1675.64,8,0.5,0.000836992,0.00123732,0
0,215585,0.302629,286.704,1675.64,8.5,0.5,0.00055378,0.00116971,0
0,215585,0.302629,286.704,1675.64,9,0.5,0.000335271,0.00113301,0
0,215585,0.302629,286.704,1675.64,9.5,0.5,0.000158672,0.00110928,0
0,215585,0.302629,286.704,1675.64,10,0.5,-5.75E-19,0.00110346,0
0,215585,0.302629,286.704,1675.64,10.5,0.5,-0.000158672,0.00110928,0
0,215585,0.302629,286.704,1675.64,11,0.5,-0.000335271,0.00113301,0
0,215585,0.302629,286.704,1675.64,11.5,0.5,-0.00055378,0.00116971,0
0,215585,0.302629,286.704,1675.64,12,0.5,-0.000836992,0.00123732,0
0,215585,0.302629,286.704,1675.64,12.5,0.5,-0.00123606,0.0013188,0
0,215585,0.302629,286.704,1675.64,13,0.5,-0.00180143,0.00146551,0
0,215585,0.302629,286.704,1675.64,13.5,0.5,-0.00263952,0.00161031,0
0,215585,0.302629,286.704,1675.64,14,0.5,-0.00381442,0.00186621,0
0,215585,0.302629,286.704,1675.64,14.5,0.5,-0.00542236,0.00201257,0
0,215585,0.302629,286.704,1675.64,15,0.5,-0.0074791,0.00237763,0
0,215585,0.302629,286.704,1675.64,15.5,0.5,-0.0100351,0.00244289,0
0,215585,0.302629,286.704,1675.64,16,0.5,-0.0131668,0.00303811,0
0,215585,0.302629,286.704,1675.64,16.5,0.5,-0.0169513,0.00301793,0
0,215585,0.302629,286.704,1675.64,17,0.5,-0.0216971,0.00410809,0
0,215585,0.302629,286.704,1675.64,17.5,0.5,-0.0275345,0.00404716,0
0,215585,0.302629,286.704,1675.64,18,0.5,-0.0353768,0.00620038,0
0,215585,0.302629,286.704,1675.64,18.5,0.5,-0.0458322,0.00665426,0
0,215585,0.302629,286.704,1675.64,19,0.5,-0.0620636,0.0118669,0
0,215585,0.302629,286.704,1675.64,19.5,0.5,-0.0906074,0.0188117,0
0,215585,0.302629,286.704,1675.64,20,0.5,-0.153638,0.0446093,0
